Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Recidivism Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Sort Number,Initial Supervision Status,Recidivism Supervision Status
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Theft,Parole,7JD,Yes,Parole,191,D Felony,Property,Burglary,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Violent,Assault,Parole,5JD,Yes,Parole,191,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,192,C Felony,Property,Theft,No,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,8JD,Yes,Parole,193,,,,Yes,,,
2010,2013,White - Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,193,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,194,C Felony,Property,Burglary,No,,,
2010,2013,White - Non-Hispanic,,45-54,Felony - Enhanced,Drug,Trafficking,Parole,1JD,Yes,Parole,194,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Property,Theft,Parole,6JD,Yes,Parole,195,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,195,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Public Order,OWI,Parole,5JD,Yes,Parole,198,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,Parole,198,Serious Misdemeanor,Property,Other Property,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,198,C Felony,Drug,Trafficking,No,,,
2010,2013,Black - Non-Hispanic,,45-54,D Felony,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,198,D Felony,Public Order,Other Public Order,No,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,198,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Public Order,Weapons,Parole,7JD,Yes,Parole,198,Serious Misdemeanor,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,8JD,Yes,Parole,199,D Felony,Public Order,Weapons,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,201,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,Felony - Enhanced,Violent,Assault,Parole,2JD,Yes,Parole,201,,,,Yes,,,
2010,2013,White - Hispanic,,55 and Older,D Felony,Public Order,OWI,Parole,3JD,Yes,Parole,202,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Parole,209,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,209,Aggravated Misdemeanor,Property,Theft,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,4JD,Yes,Parole,209,Aggravated Misdemeanor,Public Order,Other Public Order,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,210,,,,Yes,,,
2010,2013,White - Hispanic,,Under 25,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,210,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,210,Aggravated Misdemeanor,Violent,Assault,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,211,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,212,Serious Misdemeanor,Violent,Assault,No,,,
2010,2013,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,212,D Felony,Property,Burglary,No,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Theft,Parole,4JD,Yes,Parole,213,Serious Misdemeanor,Public Order,Flight/Escape,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,214,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Other Violent,Parole,8JD,Yes,Parole,214,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Property,Burglary,Parole,7JD,Yes,Parole,214,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Property,Theft,Parole,3JD,Yes,Parole,215,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Other Drug,Parole,8JD,Yes,Parole,215,D Felony,Property,Burglary,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Parole,216,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Traffic,Parole,5JD,Yes,Parole,216,,,,Yes,,,
2010,2013,White - Hispanic,,25-34,D Felony,Property,Theft,Parole,7JD,Yes,Parole,217,D Felony,Public Order,OWI,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Parole,6JD,Yes,Parole,217,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,3JD,Yes,Parole,217,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,217,C Felony,Drug,Trafficking,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,C Felony,Property,Burglary,Parole,3JD,Yes,Parole,218,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,218,Serious Misdemeanor,Violent,Assault,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,220,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,221,D Felony,Violent,Assault,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,Aggravated Misdemeanor,Violent,Kidnap,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,222,Aggravated Misdemeanor,Public Order,Other Public Order,No,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Burglary,Parole,1JD,Yes,Parole,222,Aggravated Misdemeanor,Public Order,Alcohol,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Parole,222,C Felony,Property,Burglary,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,B Felony,Other,Other Criminal,Parole,2JD,Yes,Parole,223,D Felony,Property,Forgery/Fraud,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,D Felony,Public Order,Flight/Escape,Parole,7JD,Yes,Parole,223,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,224,D Felony,Drug,Trafficking,No,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,3JD,Yes,Parole,224,Aggravated Misdemeanor,Property,Burglary,Yes,,,
2010,2013,White - Hispanic,,35-44,Felony - Enhanced,Property,Burglary,Parole,7JD,Yes,Parole,224,Serious Misdemeanor,Other,Animals,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,224,B Felony,Violent,Other Violent,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,225,Serious Misdemeanor,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,B Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,226,Aggravated Misdemeanor,Property,Theft,Yes,,,
2010,2013,Asian or Pacific Islander - Non-Hispanic,,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Parole,226,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,227,Aggravated Misdemeanor,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,227,D Felony,Drug,Trafficking,No,,,
2010,2013,Black - Non-Hispanic,,45-54,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,227,Aggravated Misdemeanor,Public Order,Prostitution/Pimping,No,,,
2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,228,,,,No,,,
2010,2013,Black - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,2JD,Yes,Parole,228,C Felony,Property,Burglary,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Property,Theft,Parole,6JD,Yes,Parole,228,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,C Felony,Property,Theft,Parole,7JD,Yes,Parole,229,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,229,,,,No,,,
2010,2013,Black - Non-Hispanic,,55 and Older,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,229,Aggravated Misdemeanor,Property,Theft,No,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Public Order,Traffic,Parole,3JD,Yes,Parole,229,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,229,,,,No,,,
2010,2013,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,230,D Felony,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole,5JD,Yes,Parole,231,Serious Misdemeanor,Violent,Assault,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Public Order,OWI,Parole,5JD,Yes,Parole,231,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,6JD,Yes,Parole,231,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,231,Aggravated Misdemeanor,Violent,Assault,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Public Order,OWI,Parole,1JD,Yes,Parole,232,Aggravated Misdemeanor,Public Order,OWI,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,Felony - Enhanced,Property,Burglary,Parole,2JD,Yes,Parole,232,,,,Yes,,,
2010,2013,American Indian or Alaska Native - Non-Hispanic,,Under 25,D Felony,Property,Theft,Parole,3JD,Yes,Parole,234,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,235,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,,,
2010,2013,Black - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,235,B Felony,Drug,Trafficking,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Parole,1JD,Yes,Parole,235,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Special Sentence,2JD,Yes,Special Sentence,237,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,238,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,239,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,239,Serious Misdemeanor,Violent,Assault,No,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Parole,239,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,Felony - Enhanced,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,239,Serious Misdemeanor,Public Order,OWI,No,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Public Order,Flight/Escape,Parole,5JD,Yes,Parole,240,Aggravated Misdemeanor,Public Order,Traffic,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,Yes,Parole,240,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole,7JD,Yes,Parole,241,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,242,D Felony,Property,Burglary,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Violent,Sex,Special Sentence,5JD,Yes,Special Sentence,242,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,45-54,D Felony,Property,Burglary,Parole,6JD,Yes,Parole,242,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,45-54,C Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,243,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Traffic,Parole,5JD,Yes,Parole,243,Aggravated Misdemeanor,Public Order,Traffic,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,243,,,,No,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Theft,Parole,7JD,Yes,Parole,245,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,B Felony,Violent,Robbery,Parole,8JD,Yes,Parole,246,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Violent,Sex,Special Sentence,7JD,Yes,Special Sentence,248,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,249,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,Parole,249,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,249,D Felony,Violent,Assault,No,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Parole,3JD,Yes,Parole,250,D Felony,Drug,Trafficking,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,251,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,252,Simple Misdemeanor,Violent,Assault,Yes,,,
2010,2013,White - Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,6JD,Yes,Parole,252,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Parole,6JD,Yes,Parole,252,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,252,Serious Misdemeanor,Public Order,Flight/Escape,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,Felony - Enhanced,Drug,Trafficking,Parole,8JD,Yes,Parole,252,Aggravated Misdemeanor,Public Order,Traffic,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,252,C Felony,Drug,Trafficking,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Theft,Parole,3JD,Yes,Parole,253,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,Felony - Enhanced,Drug,Trafficking,Parole,1JD,Yes,Parole,254,D Felony,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,254,C Felony,Drug,Trafficking,No,,,
2010,2013,White - Non-Hispanic,,45-54,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,256,Aggravated Misdemeanor,Property,Burglary,No,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Vandalism,Parole,8JD,Yes,Parole,256,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,Felony - Enhanced,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,257,,,,No,,,
2010,2013,Black - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole,1JD,Yes,Parole,258,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Property,Burglary,Parole,7JD,Yes,Parole,258,D Felony,Property,Theft,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,259,Simple Misdemeanor,Public Order,Other Public Order,No,,,
2010,2013,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,260,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Parole,2JD,Yes,Parole,260,Serious Misdemeanor,Violent,Assault,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Burglary,Parole,1JD,Yes,Parole,261,Aggravated Misdemeanor,Property,Burglary,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,261,D Felony,Public Order,OWI,No,,,
2010,2013,Black - Non-Hispanic,,45-54,B Felony,Violent,Other Violent,Parole,1JD,Yes,Parole,262,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,Parole,262,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Public Order,OWI,Parole,5JD,Yes,Parole,262,Aggravated Misdemeanor,Public Order,Traffic,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,Parole,263,Serious Misdemeanor,Public Order,Flight/Escape,Yes,,,
2010,2013,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Other,Other Criminal,Parole,1JD,Yes,Parole,264,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,D Felony,Drug,Other Drug,Parole,5JD,Yes,Parole,266,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Theft,Parole,7JD,Yes,Parole,266,Aggravated Misdemeanor,Property,Theft,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,267,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,267,D Felony,Property,Burglary,No,,,
2010,2013,Black - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,267,Aggravated Misdemeanor,Drug,Trafficking,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,268,Aggravated Misdemeanor,Property,Theft,No,,,
2010,2013,Black - Non-Hispanic,,Under 25,C Felony,Property,Vandalism,Parole,8JD,Yes,Parole,268,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,269,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,270,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,271,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,271,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,272,Aggravated Misdemeanor,Public Order,Traffic,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Parole,7JD,Yes,Parole,272,,,,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,C Felony,Property,Theft,Parole,8JD,Yes,Parole,272,D Felony,Property,Theft,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Property,Burglary,Parole,5JD,Yes,Parole,273,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Violent,Assault,Parole,5JD,Yes,Parole,273,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,273,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Violent,Robbery,Parole,1JD,Yes,Parole,273,Serious Misdemeanor,Drug,Drug Possession,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,273,,,,No,,,
2010,2013,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Sex,Special Sentence,8JD,Yes,Special Sentence,274,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Violent,Other Violent,Parole,1JD,Yes,Parole,274,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,274,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,274,D Felony,Property,Forgery/Fraud,No,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,275,Aggravated Misdemeanor,Public Order,Traffic,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,275,Serious Misdemeanor,Public Order,Flight/Escape,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,276,D Felony,Property,Burglary,No,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,279,D Felony,Property,Theft,No,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,279,D Felony,Public Order,OWI,No,,,
2010,2013,Black - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,280,Aggravated Misdemeanor,Public Order,Alcohol,No,,,
2010,2013,White - Non-Hispanic,,45-54,B Felony,Other,Other Criminal,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,281,,,,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,282,Aggravated Misdemeanor,Public Order,Other Public Order,No,,,
2010,2013,Black - Non-Hispanic,,35-44,C Felony,Violent,Robbery,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,282,Serious Misdemeanor,Violent,Assault,No,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,282,D Felony,Property,Forgery/Fraud,No,,,
